,Negative_Words,Positive_Words,Neutral_Words
0,firing,advantage,saint
1,low,thrilling,sancho
2,struggle,brilliant,starring
3,strike,vital,role
4,penalty,champion,form
5,aggressive,spark,wasteful
6,leave,win,meant
7,difficult,top,stage
8,losing,effective,instead
9,warning,ability,journeyman
10,vulnerable,sweet,striker
11,pressure,defensive,proved
12,mistake,play,difference
13,undermining,defender,give
14,attack,clearly,slender
15,trick,reach,semi
16,costly,defence,final
17,miss,strength,year
18,hard,better,old
19,critic,best,life
20,bad,important,spending
21,criticism,united,majority
22,threat,smart,second
23,odd,talent,tier
24,fear,prominent,regular
25,,confidence,scorer
26,,like,national
27,,nice,team
28,,hand,draw
29,,perfectly,real
30,,certain,night
31,,chance,much
32,,saved,first
33,,excellent,leg
34,,opportunity,particularly
35,,surely,period
36,,silly,went
37,,asset,direct
38,,virtue,produced
39,,protect,touch
40,,well,beyond
41,,prevent,minute
42,,good,break
43,,want,post
44,,easy,within
45,,supporter,space
46,,fan,blazing
47,,support,added
48,,create,head
49,,exclusive,goal
50,,favorite,athletic
51,,free,peter
52,,,burke
53,,,analyse
54,,,action
55,,,functional
56,,,flying
57,,,two
58,,,ago
59,,,poked
60,,,home
61,,,season
62,,,wild
63,,,celebration
64,,,sealed
65,,,crucial
66,,,day
67,,,fourth
68,,,place
69,,,standing
70,,,german
71,,,always
72,,,proficient
73,,,division
74,,,target
75,,,man
76,,,ram
77,,,five
78,,,different
79,,,since
80,,,turned
81,,,golden
82,,,boot
83,,,made
84,,,international
85,,,debut
86,,,scored
87,,,world
88,,,cup
89,,,put
90,,,new
91,,,side
92,,,driving
93,,,seat
94,,,league
95,,,hammer
96,,,opening
97,,,fife
98,,,image
99,,,unfashionable
100,,,undoubtedly
101,,,sometimes
102,,,get
103,,,game
104,,,touched
105,,,ball
106,,,nine
107,,,time
108,,,cagey
109,,,half
110,,,hour
111,,,emphatic
112,,,smash
113,,,either
114,,,foot
115,,,blow
116,,,apart
117,,,crisp
118,,,left
119,,,footed
120,,,open
121,,,scoring
122,,,shot
123,,,map
124,,,make
125,,,box
126,,,situation
127,,,heartening
128,,,see
129,,,distinctly
130,,,normal
131,,,footballer
132,,,take
133,,,involvement
134,,,signal
135,,,park
136,,,analyst
137,,,may
138,,,long
139,,,across
140,,,quarter
141,,,victory
142,,,barcelona
143,,,one
144,,,opposition
145,,,pass
146,,,per
147,,,behind
148,,,press
149,,,forward
150,,,line
151,,,sharp
152,,,precise
153,,,used
154,,,marc
155,,,goalkeeper
156,,,field
157,,,turn
158,,,able
159,,,bring
160,,,wide
161,,,player
162,,,duel
163,,,learned
164,,,match
165,,,coach
166,,,use
167,,,similar
168,,,manner
169,,,early
170,,,sign
171,,,marcel
172,,,curved
173,,,run
174,,,right
175,,,often
176,,,wayward
177,,,attempt
178,,,pick
179,,,could
180,,,contest
181,,,aerial
182,,,got
183,,,sold
184,,,dummy
185,,,extra
186,,,arrow
187,,,back
188,,,incredibly
189,,,simple
190,,,concede
191,,,prof
192,,,accurately
193,,,exactly
194,,,switched
195,,,caught
196,,,flat
197,,,set
198,,,deal
199,,,onto
200,,,normally
201,,,main
202,,,still
203,,,performance
204,,,reminder
205,,,environment
206,,,far
207,,,away
208,,,stifling
209,,,commentary
210,,,surrounding
211,,,career
212,,,expression
213,,,returned
214,,,timing
215,,,decision
216,,,waspishness
217,,,flutter
218,,,influence
219,,,little
220,,,width
221,,,pitch
222,,,appetite
223,,,occasion
224,,,found
225,,,keep
226,,,hold
227,,,came
228,,,fore
229,,,seven
230,,,dribble
231,,,took
232,,,part
233,,,crowd
234,,,moment
235,,,flare
236,,,spectacle
237,,,write
238,,,prove
239,,,faced
240,,,full
241,,,though
242,,,would
243,,,level
244,,,term
245,,,acute
246,,,angle
247,,,curling
248,,,effort
249,,,towards
250,,,curl
251,,,enough
252,,,hit
253,,,later
254,,,curled
255,,,cross
256,,,marco
257,,,six
258,,,yard
259,,,close
260,,,range
261,,,somehow
262,,,story
263,,,involved
264,,,corner
265,,,almost
266,,,slipped
267,,,whose
268,,,tame
269,,,ten
270,,,redeem
271,,,spotted
272,,,deep
273,,,crossbar
274,,,via
275,,,believe
276,,,frankly
277,,,said
278,,,ally
279,,,commentator
280,,,sport
281,,,broadcaster
282,,,fortunately
283,,,several
284,,,shooting
285,,,practice
286,,,agenda
287,,,ahead
288,,,next
